purpose,fico_band,loans,defaults,default_rate_pct,avg_rate_pct,avg_dti,avg_revol_util
credit_card,700-739,450,42,9.3,11.37,14.7,52.5
major_purchase,700-739,118,11,9.3,11.25,10.7,34.8
home_improvement,700-739,182,39,21.4,11.72,10.5,36.9
educational,<660,23,9,39.1,14.68,10.5,59.2
all_other,<660,103,38,36.9,14.9,13.2,65.9
small_business,<660,16,8,50.0,15.8,12.4,63.5
credit_card,660-699,462,69,14.9,13.56,14.9,66.4
home_improvement,660-699,179,36,20.1,13.98,12.3,51.5
credit_card,740+,270,16,5.9,9.35,11.8,29.9
major_purchase,660-699,150,23,15.3,13.91,11.2,45.7
home_improvement,740+,243,21,8.6,9.7,7.7,16.5
debt_consolidation,<660,233,63,27.0,15.26,14.7,67.2
major_purchase,740+,160,12,7.5,9.07,8.8,16.4
all_other,700-739,754,123,16.3,11.28,11.3,39.4
small_business,700-739,222,58,26.1,13.44,11.8,44.5
debt_consolidation,660-699,1786,316,17.7,14.07,14.7,63.5
debt_consolidation,740+,649,44,6.8,9.58,11.2,27.1
educational,700-739,112,25,22.3,11.1,10.9,35.4
credit_card,<660,80,19,23.8,15.03,13.9,66.1
home_improvement,<660,25,11,44.0,15.9,16.7,64.6
major_purchase,<660,9,3,33.3,13.75,11.0,66.8
debt_consolidation,700-739,1289,180,14.0,11.78,14.6,52.3
educational,740+,72,5,6.9,9.25,10.0,12.6
educational,660-699,136,30,22.1,13.72,12.5,52.0
small_business,740+,191,35,18.3,12.2,8.7,19.1
all_other,660-699,829,178,21.5,13.65,12.6,53.3
all_other,740+,645,48,7.4,9.09,8.6,18.4
small_business,660-699,190,71,37.4,15.69,11.6,54.0
